"","company_category_code","funded_year","raised_amount_usd"
"4131","analytics",2011,1400000
"4132","enterprise",2010,2e+06
"4133","enterprise",2011,4e+07
"4134","games_video",2011,1.5e+07
"4135","web",2011,17500000
"4136","mobile",2011,2.5e+07
"4137","software",2010,NA
"4138","enterprise",2011,750000
"4139","web",2011,1.7e+07
"4140","games_video",2011,4e+07
"4141","web",2010,1230000
"4142","design",2011,3.5e+07
"4143","mobile",2011,3585000
"4144","mobile",2011,1.8e+07
"4145","fashion",2011,1.6e+07
"4146","hardware",2011,5e+07
"4147","health",2011,5e+05
"4148","enterprise",2011,1.1e+07
"4149","enterprise",2011,5500000
"4150","security",2011,1e+06
"4151","social",2011,3e+07
"4152","enterprise",2009,5500000
"4153","software",2011,3.4e+07
"4154","mobile",2011,6500000
"4155","finance",2011,1.9e+07
"4156","semiconductor",2011,2.5e+07
"4157","software",2011,2500000
"4158","ecommerce",2011,7900000
"4159","enterprise",2011,1.4e+07
"4160","finance",2011,7500000
"4161","network_hosting",2011,1.6e+07
"4162","advertising",2011,NA
"4163","software",2011,2.5e+08
"4164","web",2011,5e+06
"4165","analytics",2011,1.1e+07
"4166","software",2011,5800000
"4167","security",2011,4e+07
"4168","education",2011,3.3e+07
"4169","software",2011,1.5e+07
"4170","hospitality",2011,3e+07
"4171","games_video",2011,4750000
"4172","enterprise",2011,1e+06
"4173","mobile",2011,9100000
"4174","ecommerce",2011,10500000
"4175","software",2011,1e+06
"4176","software",2011,1e+07
"4177","games_video",2011,5e+07
"4178","games_video",2011,5e+07
"4179","news",2013,3e+06
"4180","software",2012,52500000
"4181","enterprise",2012,1.5e+07
"4182","biotech",2012,1e+07
"4183","mobile",2012,4250000
"4184","ecommerce",2012,3.5e+07
"4185","ecommerce",2012,1e+07
"4186","finance",2011,3e+07
"4187","web",2012,1100000
"4188","analytics",2012,6700000
"4189","games_video",2012,2.75e+08
"4190","ecommerce",2012,16400000
"4191","mobile",2012,2.5e+07
"4192","software",2012,5e+06
"4193","enterprise",2011,1.8e+07
"4194","ecommerce",2012,4e+07
"4195","ecommerce",2012,2.5e+07
"4196","enterprise",2012,7e+07
"4197","cleantech",2012,6e+07
"4198","web",2012,7800000
"4199","mobile",2011,NA
"4200","mobile",2012,2.3e+07
"4201","software",2012,1.2e+07
"4202","enterprise",2012,2.5e+07
"4203","software",2012,2.5e+07
"4204","advertising",2012,1.5e+07
"4205","software",2012,55700000
"4206","software",2012,3e+06
"4207","fashion",2012,4500000
"4208","mobile",2012,3e+06
"4209","security",2012,5e+07
"4210","semiconductor",2012,40700000
"4211","software",2012,3e+07
"4212","mobile",2012,1.2e+07
"4213","analytics",2012,9300000
"4214","network_hosting",2012,2.5e+07
"4215","network_hosting",2012,1.8e+07
"4216","analytics",2012,1.5e+07
"4217","software",2012,4300000
"4218","software",2012,3.5e+07
"4219","software",2004,12500000
"4220","software",2011,1.1e+07
"4221","web",2012,5100000
"4222","analytics",2012,3e+07
"4223","enterprise",2012,6.5e+07
"4224","software",2012,3e+07
"4225","software",2013,12300000
"4226","social",2012,NA
"4227","education",2013,1.03e+08
"4228","advertising",2013,25011200
"4229","ecommerce",2013,5e+06
"4230","finance",2013,2e+07
"4231","ecommerce",2013,3e+07
"4232","biotech",2013,21300000
"4233","games_video",2013,3e+07
"4234","software",2012,1100000
"4235","ecommerce",2013,11500000
"4236","enterprise",2013,2.5e+07
"4237","advertising",2013,9400000
"4238","education",2011,2500000
"4239","enterprise",2013,9e+06
"4240","enterprise",2013,2e+07
"4241","finance",2013,2.5e+07
"4242","mobile",2013,3800000
"4243","advertising",2013,2e+07
"4244","web",2013,5500000
"4245","mobile",2013,8600000
"4246","analytics",2010,NA
"4247","finance",2013,16500000
"4248","software",2013,1.6e+07
"4249","security",2013,2500000
"4250","web",2013,1.8e+07
"4251","ecommerce",2012,680000
"4252","education",2013,1800000
"4253","enterprise",2013,2.5e+07
"4254","mobile",2013,4.5e+07
"4255","security",2013,3e+07
"4256","enterprise",2013,5e+07
"4257","software",2010,9100000
"4258","network_hosting",2010,2e+07
"4259","software",2006,5.4e+07
"4260","analytics",2011,8.4e+07
"4261","finance",2011,NA
"4262","software",2011,NA
"4263","consulting",2011,NA
"4264","consulting",2012,NA
"4265","software",2012,NA
"4266","analytics",2013,1250000
"4267","mobile",2012,5e+05
"4268","hospitality",2013,NA
"4269","biotech",2011,2100000
"4270","biotech",2013,15800000
"4271","web",2008,1400000
"4272","games_video",2007,2e+06
"4273","games_video",2009,1500000
"4274","travel",2008,6400000
"4275","advertising",2009,2104119
"4276","advertising",2009,1575000
"4277","games_video",2009,1e+06
"4278","games_video",2010,1240000
"4279","enterprise",2010,4099998
"4280","automotive",2010,3e+05
"4281","automotive",2010,4500000
"4282","advertising",2010,1500000
"4283","mobile",2010,2e+05
"4284","advertising",2010,1700000
"4285","mobile",2011,1200000
"4286","nonprofit",2011,2e+06
"4287","web",2011,1700000
"4288","nonprofit",2011,5e+06
"4289","mobile",2011,1e+06
"4290","ecommerce",2012,2500000
"4291","mobile",2012,1500000
"4292","advertising",2012,7e+06
"4293","mobile",2012,1200000
"4294","web",2012,1e+06
"4295","advertising",2012,8e+06
"4296","advertising",2013,1e+06
"4297","mobile",2011,NA
"4298","hardware",2013,2600000
"4299",NA,2006,6100000
"4300",NA,2006,1500000
"4301","cleantech",2008,4800000
"4302","enterprise",2006,6e+06
"4303","biotech",2011,7.5e+07
"4304","biotech",2012,5400000
"4305","biotech",2012,3300000
"4306","mobile",2007,7e+06
"4307","mobile",2008,3e+06
"4308","messaging",2012,4e+07
"4309","music",2013,6e+07
"4310","consulting",2009,5100000
"4311","enterprise",2008,NA
"4312","software",2008,1.2e+07
"4313","software",2008,5700000
"4314","education",2009,7e+06
"4315","enterprise",2009,3100000
"4316","security",2006,5e+06
"4317","security",2008,8250000
"4318","manufacturing",2010,5600000
"4319","enterprise",2008,3250000
"4320","software",2006,6500000
"4321","software",2006,5e+06
"4322","software",2006,4690000
"4323","finance",2010,1500000
"4324","security",2005,2300000
"4325","network_hosting",2005,7e+06
"4326","software",2005,5e+06
"4327","software",2010,1500000
"4328","software",2011,NA
"4329","software",2011,1270000
"4330","enterprise",2011,1e+07
"4331","security",2011,12600000
"4332","travel",2011,17500000
"4333","software",2011,1e+07
"4334","security",2012,12200000
"4335","web",2012,1e+06
"4336","enterprise",2012,7100000
"4337","enterprise",2013,2e+06
"4338","software",2013,5e+06
"4339","biotech",2009,3e+07
"4340",NA,2008,2.1e+07
"4341","medical",2006,2.6e+07
"4342","medical",2006,4.1e+07
"4343","medical",2010,3.5e+07
"4344","biotech",2011,30600000
"4345","biotech",2011,15900000
"4346","biotech",2011,5.8e+07
"4347","medical",2011,1.2e+07
"4348","medical",2011,6.5e+07
"4349","biotech",2012,3.3e+07
"4350","biotech",2012,16500000
"4351","medical",2012,3e+07
"4352","biotech",2013,4.8e+07
"4353","mobile",2009,NA
"4354","web",2010,740000
"4355","enterprise",2010,1200000
"4356","automotive",2010,3e+05
"4357","web",2010,1300000
"4358","software",2011,8e+05
"4359","games_video",2011,1e+06
"4360","automotive",2011,6e+06
"4361","education",2012,1e+06
"4362","web",2012,1500000
"4363","ecommerce",2013,3e+06
"4364","mobile",2012,7e+05
"4365","automotive",2010,1.89e+08
"4366","automotive",2011,1.5e+08
"4367","education",2010,7.5e+07
"4368","web",2011,NA
"4369","photo_video",2012,1300000
"4370","software",2011,4750000
"4371","enterprise",2012,4700000
"4372","search",2004,2500000
"4373","advertising",2007,9600000
"4374","advertising",2007,2500000
"4375","advertising",2006,1500000
"4376","advertising",2010,8800000
"4377","mobile",2010,550000
"4378","advertising",2009,NA
"4379","biotech",2007,1100000
"4380","biotech",2007,3e+06
"4381","semiconductor",2006,2.5e+07
"4382","hardware",2008,2.5e+07
"4383","software",2008,1.2e+07
"4384","software",2007,4950000
"4385","software",2006,1.5e+07
"4386","software",2007,1580000
"4387","software",2005,19480000
"4388","software",2010,1e+06
"4389","software",2010,750000
"4390","social",2013,650000
"4391","social",2012,NA
"4392","web",2012,9e+05
"4393","music",2013,150000
"4394","music",2013,3e+05
"4395","biotech",2013,30607151
"4396","web",2007,1.6e+07
"4397","ecommerce",2008,2.7e+07
"4398","games_video",2003,NA
"4399","ecommerce",2010,2e+07
"4400","cleantech",2008,6e+06
"4401","mobile",2003,3750000
"4402","web",2008,7e+05
"4403","biotech",2008,3.7e+07
"4404","biotech",2005,1e+08
"4405","biotech",2013,6e+07
"4406","advertising",2007,9600000
"4407","advertising",2007,2500000
"4408","software",2010,8e+06
"4409","network_hosting",2008,19600000
"4410","enterprise",2008,1e+07
"4411","enterprise",2008,11900000
"4412","software",2008,6500000
"4413","hardware",2009,1.5e+07
"4414","cleantech",2007,1750000
"4415","web",2009,6e+06
"4416","hardware",2008,18800000
"4417","biotech",2010,5e+06
"4418","semiconductor",2007,9e+06
"4419","enterprise",2006,7e+06
"4420","hardware",2006,4e+06
"4421","automotive",2006,6e+06
"4422","semiconductor",2006,2.5e+07
"4423","hardware",2010,8100000
"4424","software",2011,8e+06
"4425","web",2010,1e+07
"4426","advertising",2010,8800000
"4427","software",2005,1.2e+07
"4428","automotive",2010,4600000
"4429","semiconductor",2005,13150000
"4430",NA,2005,8e+06
"4431","security",2011,2.1e+07
"4432","cleantech",2011,5e+06
"4433","web",2011,2e+07
"4434","advertising",2011,6e+06
"4435","advertising",2011,7800000
"4436","ecommerce",2011,1200000
"4437","education",2009,6e+06
"4438","education",2010,1e+07
"4439","education",2011,2e+07
"4440","hardware",2012,12300000
"4441","cleantech",2013,6500000
"4442","advertising",2007,5e+06
"4443","ecommerce",2007,3.4e+07
"4444","web",2002,2e+07
"4445","web",2001,1.5e+07
"4446","mobile",2004,3.7e+07
"4447","advertising",2008,2.5e+07
"4448","advertising",2008,1e+07
"4449","software",2008,12500000
"4450","software",2008,1e+07
"4451","network_hosting",2007,2.2e+07
"4452","semiconductor",2007,2.5e+07
"4453","enterprise",2007,1.4e+07
"4454","medical",2007,15500000
"4455","other",2007,1.4e+07
"4456","network_hosting",2009,1e+07
"4457","advertising",2009,10500000
"4458","advertising",2010,1e+07
"4459","semiconductor",2007,2.8e+07
"4460","software",2010,2e+07
"4461","software",2007,10150000
"4462","software",2007,6250000
"4463","biotech",2008,1.54e+08
"4464","cleantech",2010,129400000
"4465","mobile",2006,1.9e+07
"4466","security",2007,1.8e+07
"4467","security",2006,4e+06
"4468","biotech",2010,4.3e+07
"4469","semiconductor",2010,3500000
"4470","biotech",2005,6.7e+07
"4471","biotech",2005,3.2e+07
"4472","software",2005,3250000
"4473","network_hosting",2010,1.5e+07
"4474","cleantech",2010,6.5e+07
"4475","medical",2010,1.7e+07
"4476","web",2010,9e+07
"4477","medical",2011,3.3e+07
"4478","enterprise",2011,8600000
"4479","consulting",2006,9e+06
"4480","consulting",2009,5e+06
"4481","consulting",2011,2.7e+07
"4482","advertising",2011,2.1e+07
"4483","enterprise",2011,1e+07
"4484","hardware",2011,2.5e+07
"4485","biotech",2011,1.8e+07
"4486","software",2011,1.1e+07
"4487","software",2011,1.2e+07
"4488","medical",2011,3.2e+07
"4489","biotech",2011,67500000
"4490","advertising",2011,3e+07
"4491","biotech",2009,1.7e+07
"4492","biotech",2012,9600000
"4493","enterprise",2012,1.2e+07
"4494","enterprise",2012,1e+08
"4495","enterprise",2012,1.5e+07
"4496","ecommerce",2012,10100000
"4497","health",2012,1750000
"4498","security",2012,1.5e+07
"4499","biotech",2012,3.8e+07
"4500","finance",2013,2e+07
"4501","enterprise",2013,2e+07
"4502","enterprise",2013,2.2e+07
"4503","software",2013,9e+06
"4504","enterprise",2013,2.5e+07
"4505","mobile",2007,9e+06
"4506","mobile",2006,3e+06
"4507","enterprise",2010,4e+06
"4508","enterprise",2012,8e+06
"4509","enterprise",2012,22400000
"4510","enterprise",2013,26500000
"4511","consulting",2003,6e+06
"4512","software",2007,13600000
"4513","games_video",2007,1.2e+07
"4514","games_video",2009,14400000
"4515","games_video",2007,1.2e+07
"4516","software",2006,2500000
"4517","advertising",2009,1900000
"4518","enterprise",2007,NA
"4519","other",2006,3e+07
"4520","games_video",2007,2e+06
"4521","software",2006,2e+06
"4522","software",2008,4e+06
"4523","consulting",2007,2e+07
"4524","software",2008,10200000
"4525","software",2009,14500000
"4526","software",2007,10150000
"4527","software",2006,6e+06
"4528","security",2005,1.1e+07
"4529","software",2005,1e+07
"4530","enterprise",2012,15300000
"4531","fashion",2013,14571510
"4532","messaging",2008,4e+07
"4533","games_video",2008,3.3e+07
"4534","semiconductor",2008,3.8e+07
"4535","semiconductor",2007,3.3e+07
"4536","enterprise",2008,2.3e+07
"4537","network_hosting",2006,6e+06
"4538","other",2008,33120000
"4539","cleantech",2009,7.5e+07
"4540","semiconductor",2008,4.8e+07
"4541","hardware",2007,5e+07
"4542","advertising",2008,1.85e+08
"4543","semiconductor",2010,10900000
"4544","advertising",2006,3.2e+07
"4545","advertising",2006,4e+07
"4546",NA,2006,4100000
"4547","software",2006,14100000
"4548","other",2010,12400000
"4549","semiconductor",2006,2e+07
"4550","mobile",2005,9.5e+07
"4551","semiconductor",2005,6.6e+07
"4552","ecommerce",2005,4.5e+07
"4553","automotive",2011,1.5e+08
"4554","cleantech",2011,1.5e+08
"4555","biotech",2008,2300000
"4556","biotech",2009,2500000
"4557","biotech",2006,5e+06
"4558","search",2007,3e+07
"4559","search",2005,1.8e+07
"4560","enterprise",2008,1.6e+07
"4561","software",2008,10700000
"4562","search",2008,2e+07
"4563","software",2006,5500000
"4564","advertising",2008,2.5e+07
"4565","medical",2007,2e+07
"4566","mobile",2007,1.2e+07
"4567","biotech",2009,4.7e+07
"4568","cleantech",2008,1.4e+07
"4569","cleantech",2008,3160000
"4570","manufacturing",2008,18020000
"4571","manufacturing",2006,9e+06
"4572","manufacturing",2008,101800000
"4573","manufacturing",2009,6e+07
"4574","biotech",2006,10080000
"4575","network_hosting",2008,8600000
"4576","cleantech",2008,1.4e+07
"4577","cleantech",2008,4e+07
"4578","cleantech",2008,26250000
"4579","cleantech",2005,7e+06
"4580","biotech",2007,20300000
"4581","cleantech",2007,8370000
"4582","games_video",2006,1.3e+07
"4583","medical",2003,5e+06
"4584","medical",2004,1.2e+07
"4585","medical",2009,3750000
"4586","medical",2009,9500000
"4587","cleantech",2008,19500000
"4588","medical",2010,21500000
"4589","medical",2007,33800000
"4590","manufacturing",2010,13300000
"4591",NA,2006,5800000
"4592","mobile",2006,60500000
"4593","software",2006,6100000
"4594","biotech",2006,3e+07
"4595","biotech",2010,3.9e+07
"4596",NA,2006,7500000
"4597","biotech",2010,2.5e+07
"4598","medical",2010,2e+07
"4599","enterprise",2010,1.5e+07
"4600","network_hosting",2005,1.6e+07
"4601","software",2005,1.5e+07
"4602","biotech",2005,4.5e+07
"4603","biotech",2010,8400000
"4604","biotech",2010,4e+07
"4605","cleantech",2010,23700000
"4606","network_hosting",2005,1.4e+07
"4607","public_relations",2005,1.2e+07
"4608","mobile",2006,7500000
"4609","cleantech",2010,4.8e+07
"4610","software",2010,8750000
"4611","enterprise",2010,1.6e+07
"4612","medical",2010,16500000
"4613","cleantech",2010,2.5e+07
"4614","enterprise",2011,1e+07
"4615","health",2011,2e+07
"4616","biotech",2011,3.2e+07
"4617","medical",2011,2.4e+07
"4618","cleantech",2011,3e+07
"4619","biotech",2013,11500000
"4620","enterprise",2011,6e+06
"4621","biotech",2011,1.5e+08
"4622","enterprise",2011,33500000
"4623","biotech",2011,8e+06
"4624","manufacturing",2012,19200000
"4625","advertising",2012,21500000
"4626","medical",2012,1.3e+07
"4627","medical",2012,10600000
"4628","enterprise",2012,16500000
"4629","software",2012,2e+06
"4630","enterprise",2013,1.7e+07
"4631","biotech",2013,9e+06
"4632","medical",2013,1e+07
"4633","medical",2013,22162638
"4634","cleantech",2013,3.5e+07
"4635","legal",2012,2500000
"4636","cleantech",2013,2e+07
"4637","web",2011,5e+05
"4638","enterprise",2011,1500000
"4639","photo_video",2012,1100000
"4640","education",2012,8e+05
"4641","software",2012,4250000
"4642","travel",2012,3e+06
"4643","health",2012,1e+06
"4644","mobile",2013,750000
"4645","advertising",2013,1500000
"4646","games_video",2013,2e+06
"4647","hospitality",2013,1350000
"4648","advertising",2013,1500000
"4649","advertising",2011,5e+06
"4650","advertising",2011,5e+06
"4651","news",2013,1100000
"4652","health",2013,4e+06
"4653","analytics",2013,3600000
"4654","education",2013,6200000
"4655","cleantech",2006,1.6e+07
"4656","mobile",2007,7e+06
"4657","mobile",2006,11500000
"4658","hardware",2008,3500000
"4659","software",2008,1e+06
"4660","software",2009,1e+08
"4661","cleantech",2008,250000
"4662","biotech",2007,1.9e+07
"4663","cleantech",2008,7500000
"4664",NA,2008,2e+06
"4665","cleantech",2008,1e+07
"4666","cleantech",2009,9e+06
"4667","public_relations",2005,4e+06
"4668","other",2008,1900000
"4669","finance",2009,2800000
"4670","consulting",2009,2e+06
"4671","enterprise",2009,3e+06
"4672","hardware",2008,6e+05
"4673","hospitality",2010,7100000
"4674","hardware",2009,NA
"4675","other",2007,9e+06
"4676","software",2007,2e+06
"4677","software",2007,1700000
"4678","hardware",2007,8e+06
"4679",NA,2006,1.7e+07
"4680","software",2006,2400000
"4681","software",2006,1e+06
"4682","biotech",2006,9350000
"4683","mobile",2005,7e+06
"4684","finance",2005,250000
"4685","software",2005,5e+06
"4686","medical",2011,150000
"4687","biotech",2011,7500000
"4688","web",2011,NA
"4689","advertising",2011,1600000
"4690","manufacturing",2011,13300000
"4691","cleantech",2012,2e+07
"4692","software",2012,2150000
"4693","software",2012,2700000
"4694","medical",2012,2370000
"4695","hardware",2012,5500000
"4696","cleantech",2012,1e+06
"4697","manufacturing",2012,1e+07
"4698","biotech",2012,7200000
"4699","cleantech",2012,3e+06
"4700","biotech",2012,6e+06
"4701","biotech",2012,1e+06
"4702","software",2012,7500000
"4703","software",2009,1e+08
"4704","software",2008,3500000
"4705","software",2007,1700000
"4706","biotech",2006,5470000
"4707","software",2006,2.5e+07
"4708","biotech",2010,2e+07
"4709","software",2005,1.8e+07
"4710","cleantech",2005,8400000
"4711","finance",2012,NA
"4712","biotech",2006,2.5e+07
"4713","biotech",2006,1.1e+07
"4714","fashion",2010,4500000
"4715","biotech",2010,3e+07
"4716","software",2005,8200000
"4717","biotech",2011,2e+07
"4718","biotech",2011,2.1e+07
"4719","enterprise",2011,1.7e+07
"4720","mobile",2007,7500000
"4721","biotech",2011,1500000
"4722","biotech",2011,7e+06
"4723","fashion",2012,1.8e+07
"4724","biotech",2013,2.5e+07
"4725","fashion",2013,2e+07
"4726","biotech",2013,2.8e+07
"4727","cleantech",2008,2e+07
"4728","cleantech",2011,3e+07
"4729","software",2011,2e+05
"4730","cleantech",2012,17700000
"4731","software",2013,6.8e+07
"4732","web",2009,25000
"4733",NA,2006,6100000
"4734",NA,2006,1500000
"4735",NA,2005,4e+06
"4736","manufacturing",2011,NA
"4737","manufacturing",2013,NA
"4738","enterprise",2008,2200000
"4739","enterprise",2006,1150000
"4740","software",2007,2830000
"4741","advertising",2008,3500000
"4742","hardware",2009,7500000
"4743","medical",2009,5e+07
"4744","biotech",2009,4e+07
"4745","biotech",2009,2.5e+07
"4746","advertising",2009,4500000
"4747","cleantech",2010,5.8e+07
"4748","web",2010,5e+07
"4749","hardware",2010,3.9e+07
"4750","cleantech",2011,7.6e+07
"4751","advertising",2011,7e+06
"4752","network_hosting",2011,1.6e+07
"4753","biotech",2011,5.6e+07
"4754","health",2012,7500000
"4755","advertising",2011,3e+06
"4756","nanotech",2012,7e+07
"4757","biotech",2013,2.8e+07
"4758","network_hosting",2008,1.4e+07
"4759","network_hosting",2006,30600000
"4760","ecommerce",2006,1e+05
"4761",NA,2008,2.1e+07
"4762","biotech",2009,6e+06
"4763","biotech",2009,20500000
"4764","biotech",2008,49500000
"4765","biotech",2010,18300000
"4766","medical",2010,3e+07
"4767","medical",2012,3.5e+07
"4768","medical",2010,17500000
"4769","biotech",2006,2e+07
"4770","other",2001,NA
"4771","biotech",2009,11800000
"4772","public_relations",2006,1e+07
"4773","public_relations",2005,1e+07
"4774","public_relations",2005,7500000
"4775","biotech",2010,1.7e+07
"4776","biotech",2008,3e+07
"4777","biotech",2010,21800000
"4778","biotech",2011,2e+07
"4779","biotech",2011,2.2e+07
"4780","biotech",2011,3.6e+07
"4781","biotech",2012,4100000
"4782","biotech",2012,2.7e+07
"4783","biotech",2013,4.1e+07
"4784","web",2005,6300000
"4785","games_video",2009,10500000
"4786","web",2008,1e+05
"4787","public_relations",2005,2.6e+07
"4788","software",2005,7e+06
"4789","software",2005,7e+06
"4790","cleantech",2009,14200000
"4791","biotech",2012,1.5e+07
"4792","biotech",2013,28400000
"4793","software",2012,1e+07
"4794","mobile",2012,5e+07
"4795","software",2005,8e+06
"4796","advertising",2011,2700000
"4797","enterprise",2013,1929900
"4798","software",2007,1e+07
"4799","biotech",2009,3.8e+07
"4800","software",2007,1e+07
"4801","semiconductor",2005,13150000
"4802","public_relations",2002,8e+06
"4803","software",2005,12100000
"4804","enterprise",2013,1.1e+07
"4805","biotech",2008,22750000
"4806","biotech",2009,4.6e+07
"4807","biotech",2009,3.8e+07
"4808","medical",2010,5.5e+07
"4809","biotech",2007,7410000
"4810","biotech",2010,2.2e+07
"4811","biotech",2010,2.5e+07
"4812","medical",2010,2e+07
"4813","ecommerce",2010,15600000
"4814","biotech",2011,4.5e+07
"4815","medical",2011,2.3e+07
"4816","medical",2011,1e+07
"4817","biotech",2012,47500000
"4818","biotech",2012,4600000
"4819","medical",2012,2.4e+07
"4820","medical",2012,4.5e+07
"4821","biotech",2007,25800000
"4822","biotech",2012,4e+07
"4823","biotech",2012,5e+07
"4824","biotech",2012,5e+07
"4825","biotech",2013,2.5e+07
"4826","biotech",2013,3.3e+07
"4827","medical",2013,1.5e+07
"4828","ecommerce",2013,45500000
"4829","cleantech",2012,1.7e+07
"4830","ecommerce",2011,1e+06
"4831","biotech",2007,2e+06
"4832","biotech",2009,6e+06
"4833","biotech",2007,8800000
"4834","cleantech",2012,7.5e+07
"4835","cleantech",2008,160000
"4836","software",2013,5303380
"4837","hardware",2008,2500000
"4838","social",2012,1500000
"4839","software",2006,510000
"4840","ecommerce",2013,NA
"4841","search",2006,1.6e+07
"4842","biotech",2006,2.1e+07
"4843","biotech",2008,2e+07
"4844","nanotech",2009,14500000
"4845","biotech",2009,6e+06
"4846","biotech",2008,8100000
"4847","biotech",2007,3e+07
"4848","biotech",2010,3900000
"4849","biotech",2010,1500000
"4850","nanotech",2005,41500000
"4851","biotech",2011,4400000
"4852","biotech",2011,2100000
"4853","biotech",2007,25800000
"4854","biotech",2013,8e+06
"4855","analytics",2009,1e+06
"4856","biotech",2009,18500000
"4857","software",2007,6700000
"4858","software",2005,7e+06
"4859","software",2013,5e+05
"4860","cleantech",2008,1.31e+08
"4861","cleantech",2008,3e+07
"4862","software",2012,7e+06
"4863","web",2000,1.5e+07
"4864","mobile",2007,7700000
"4865","mobile",2008,1.5e+07
"4866","mobile",2003,1.6e+07
"4867","enterprise",2008,6e+06
"4868","security",2007,5e+06
"4869","software",2007,8e+06
"4870","security",2006,1e+07
"4871","web",2009,1e+07
"4872","web",2007,9e+06
"4873","web",2006,9e+06
"4874","mobile",2007,1.2e+07
"4875","mobile",2007,17500000
"4876","automotive",2009,5300000
"4877","enterprise",2008,6e+06
"4878","analytics",2009,7e+06
"4879","mobile",2008,2e+07
"4880","hardware",2002,16500000
"4881","mobile",2008,1.2e+07
"4882","network_hosting",2009,1e+07
"4883","security",2009,1e+07
"4884","software",2007,5700000
"4885","mobile",2006,1.8e+07
"4886","semiconductor",2010,2.4e+07
"4887","hardware",2006,4e+06
"4888","mobile",2005,7e+07
"4889","software",2005,1e+07
"4890","mobile",2010,8e+06
"4891","analytics",2010,1.5e+07
"4892","public_relations",2005,1.3e+07
"4893","mobile",2006,7500000
"4894","automotive",2010,2e+06
"4895","security",2005,7e+06
"4896","network_hosting",2010,2.5e+07
"4897","enterprise",2011,9200000
"4898","semiconductor",2011,1.4e+07
"4899","software",2011,1.2e+07
"4900","enterprise",2011,15500000
"4901","network_hosting",2011,5e+07
"4902","mobile",2012,5e+06
"4903","security",2013,2e+07
"4904","enterprise",2013,2e+07
"4905","security",2013,1500000
"4906","mobile",2006,6960000
"4907","network_hosting",2001,1.5e+07
"4908","social",2012,3300000
"4909","enterprise",2013,4125000
"4910","sports",2012,7e+05
"4911","ecommerce",2012,7e+06
"4912","sports",2012,1300000
"4913","analytics",2013,4200000
"4914","software",2009,7600000
"4915","software",2007,1.2e+07
"4916","semiconductor",2006,12350000
"4917","hardware",2006,9700000
"4918","software",2005,1.2e+07
"4919","advertising",2006,4e+07
"4920","web",2005,5e+06
"4921","software",2007,10300000
"4922","enterprise",2007,59500000
"4923","hardware",2003,3e+06
"4924","hardware",2005,8600000
"4925","games_video",2007,6e+06
"4926","games_video",2007,NA
"4927","cleantech",2007,12600000
"4928","hardware",2007,5400000
"4929","enterprise",2008,6e+07
"4930","games_video",2005,1690000
"4931","web",2010,3e+06
"4932","network_hosting",2008,2500000
"4933","web",2008,2600000
"4934","news",2008,NA
"4935","web",2008,2570000
"4936","news",2005,6750000
"4937","news",2009,5e+06
"4938","web",2009,2700000
"4939","news",2009,5300000
"4940","cleantech",2008,3.7e+07
"4941","news",2009,8e+06
"4942","music",2010,NA
"4943","biotech",2005,1.6e+07
"4944","software",2010,1e+07
"4945","education",2010,7e+06
"4946","news",2010,2400000
"4947","mobile",2011,7600000
"4948","ecommerce",2011,5e+06
"4949","cleantech",2011,4.2e+07
"4950","automotive",2011,2e+08
"4951","web",2011,7e+06
"4952","design",2011,6e+05
"4953","software",2011,1.5e+07
"4954","web",2011,17800000
"4955","web",2009,2e+06
"4956","mobile",2012,3e+07
"4957","web",2012,7e+07
"4958","education",2012,4e+05
"4959","photo_video",2012,1300000
"4960","enterprise",2012,7100000
"4961","education",2012,9500000
"4962","software",2013,8e+07
"4963","social",2013,21600000
"4964","education",2013,8e+06
"4965","nanotech",2007,3e+07
"4966","health",2013,8250000
"4967","web",2008,30000
"4968","software",2007,7400000
"4969","web",2007,1e+06
"4970","enterprise",2007,1550000
"4971","biotech",2008,2600000
"4972","software",2009,1e+06
"4973","advertising",2009,1575000
"4974","enterprise",2011,5e+05
"4975","biotech",2012,750000
"4976","analytics",2012,3e+06
"4977","biotech",2012,1100000
"4978","enterprise",2013,1250000
"4979","analytics",2013,1600000
"4980","biotech",2009,10400000
"4981","security",2009,31500000
"4982","biotech",2009,3.8e+07
"4983","semiconductor",2007,2800000
"4984","software",2007,2e+06
"4985","public_relations",2005,8400000
"4986","semiconductor",2005,7200000
"4987","mobile",2008,2e+07
"4988","biotech",2003,4600000
"4989","biotech",2009,5900000
"4990","mobile",2005,1.7e+07
"4991","mobile",2006,2.6e+07
"4992","mobile",2004,2e+07
"4993","mobile",2002,2.2e+07
"4994","mobile",2000,2.6e+07
"4995","semiconductor",2006,1.4e+07
"4996","semiconductor",2005,13500000
"4997","mobile",2012,1500000
"4998","mobile",2007,2.9e+07
"4999","enterprise",2007,59500000
"5000","hardware",2007,4e+07
"5001","advertising",2008,2.5e+07
"5002","mobile",2008,2e+07
"5003","mobile",2008,2.6e+07
"5004","biotech",2009,34500000
"5005","biotech",2007,2.6e+07
"5006","biotech",2009,6.8e+07
"5007","biotech",2007,1.7e+07
"5008","biotech",2007,3.2e+07
"5009","semiconductor",2007,1.9e+07
"5010","biotech",2007,22300000
"5011","enterprise",2010,1.2e+07
"5012","software",2006,1.2e+07
"5013","biotech",2010,1.09e+08
"5014","mobile",2011,2e+07
"5015","biotech",2012,15300000
"5016","cleantech",2008,5e+06
